date,name,start,end,duration,breakable
0018-04-16,morning routine,0001-01-01 07:15:00,0001-01-01 07:45:00,0:30:00,False
0018-04-16,breakfast,0001-01-01 07:45:00,0001-01-01 08:30:00,0:45:00,False
0018-04-16,p&m,0001-01-01 08:30:00,0001-01-01 08:45:00,0:15:00,False
0018-04-16,office work,0001-01-01 08:45:00,0001-01-01 09:00:00,0:15:00,False
0018-04-16,mechanics,0001-01-01 09:15:00,0001-01-01 10:45:00,1:30:00,False
0018-04-16,lin,0001-01-01 11:00:00,0001-01-01 12:45:00,1:45:00,False
0018-04-16,pool,0001-01-01 12:45:00,0001-01-01 13:00:00,0:15:00,False
0018-04-16,lunch,0001-01-01 13:00:00,0001-01-01 13:45:00,0:45:00,False
0018-04-16,p&m,0001-01-01 13:45:00,0001-01-01 17:00:00,3:15:00,False
0018-04-16,dinner,0001-01-01 17:15:00,0001-01-01 17:45:00,0:30:00,False
0018-04-16,p&m,0001-01-01 18:00:00,0001-01-01 18:15:00,0:15:00,False
0018-04-16,softDes,0001-01-01 18:30:00,0001-01-01 19:00:00,0:30:00,False
0018-04-16,formula,0001-01-01 19:15:00,0001-01-01 21:15:00,2:00:00,False
0018-04-16,office work,0001-01-01 21:15:00,0001-01-01 21:30:00,0:15:00,False
0018-04-16,softDes,0001-01-01 21:45:00,0001-01-01 22:15:00,0:30:00,False
